Name,Location, State,Tuition and fees,Undergrad Enrollment,Rank
Western Michigan University,Kalamazoo, MI,25713,18567,194
Indiana University-Purdue University--Indianapolis,Indianapolis, IN,29791,21985,197
Lesley University,Cambridge, MA,25750,1520,197
University of Alabama--Huntsville,Huntsville, AL,20622,6013,197
University of Colorado--Denver,Denver, CO,29334,14036,197
University of Nevada--Reno,Reno, NV,21052,17770,197
California State University--Fullerton,Fullerton, CA,17596,33144,202
Central Michigan University,Mount Pleasant, MI,23670,20498,202
Louisiana Tech University,Ruston, LA,25851,10682,202
South Dakota State University,Brookings, SD,11403,11007,202
University of Alaska--Fairbanks,Fairbanks, AK,22469,7610,202
University of North Carolina--Charlotte,Charlotte, NC,20193,22732,202
University of North Dakota,Grand Forks, ND,18899,11577,202
University of South Dakota,Vermillion, SD,11688,7435,202
East Carolina University,Greenville, NC,22904,23039,210
Montana State University,Bozeman, MT,23042,13707,210
Old Dominion University,Norfolk, VA,27028,20101,210
University of Missouri--Kansas City,Kansas City, MO,22714,11253,210
Ashland University,Ashland, OH,20392,3716,214
Dallas Baptist University,Dallas, TX,26180,3315,214
Northern Illinois University,DeKalb, IL,23799,15027,214
Nova Southeastern University,Ft. Lauderdale, FL,27660,4641,214
Southern Illinois University--Carbondale,Carbondale, IL,27130,13031,214
University of Montana,Missoula, MT,24562,8732,214
Benedictine University,Lisle, IL,32170,3347,220
California State University--Fresno,Fresno, CA,17209,21482,220
Gardner-Webb University,Boiling Springs, NC,29850,2615,220
New Mexico State University,Las Cruces, NM,21234,12526,220
Shenandoah University,Winchester, VA,31322,2010,220
Tennessee Technological University,Cookeville, TN,24800,9801,220
University of Massachusetts--Boston,Boston, MA,32023,12949,220
University of Massachusetts--Dartmouth,North Dartmouth, MA,19270,7295,220
University of Missouri--St. Louis,St. Louis, MO,26277,13569,220
University of North Carolina--Greensboro,Greensboro, NC,21595,15951,220
University of Southern Mississippi,Hattiesburg, MS,16094,11840,220
Utah State University,Logan, UT,19772,25259,220
